,mold_temp,melt_temp,hold_pressure,injection_speed,defect,,
0,28.47,279.43,56.09,135.84,Y,,
1,24.71,270.53,55.95,134.1,Y,,
2,28.74,276.69,54.08,135.26,Y,,
3,29.6,276.09,57.72,135.79,Y,,
4,24.79,271.47,57.48,132.87,Y,,
5,23.87,273.97,59.01,136.33,N,,
6,28.71,274.2,58.18,136.86,Y,,
7,30.18,270.71,56.54,132.9,Y,,
8,27.82,273.3,54.99,132.19,Y,,
9,24.65,279.42,54.68,136.67,Y,,
10,24.62,273,53.97,132.11,Y,,
11,27.47,278.84,54.5,137.32,Y,,
12,23.88,271.04,56.15,133.18,Y,,
13,26.99,273.11,54.45,136.75,Y,,
14,23.45,269.82,58.18,136.63,N,,
15,30.11,275.82,53.22,132.64,Y,,
16,26.97,278.68,58.07,133.38,Y,,
17,24.12,278.09,55.09,135.61,Y,,
18,28.7,272.64,55.93,133.92,Y,,
19,24.93,276.12,56.93,136.97,Y,,
20,22.69,275.11,55.88,134.52,Y,,
21,24.7,276.87,54.1,136.34,Y,,
22,22.3,276.55,56.26,132.99,Y,,
23,28.02,271.29,57.49,136.79,Y,,
24,23.3,270.41,57.69,137.29,Y,,
25,22.55,279.51,56.66,136.13,Y,,
26,24.59,276.16,57.16,136.05,Y,,
27,24.37,275.17,53.88,135.03,Y,,
28,24.99,279.27,57.05,134.76,Y,,
29,25.13,273.34,54.14,133.69,Y,,
30,25.69,271.88,53.85,136.34,Y,,
31,21.7,272.94,55.7,137.7,Y,,
32,24.61,272.44,54.48,133.03,Y,,
33,24.36,273.96,57.49,134.62,Y,,
34,30.5,271.56,55.07,136.74,Y,,
35,28.91,269.99,53.72,137.72,N,,
36,22.35,273.36,58.31,136.88,Y,,
37,24.76,269.86,55.95,133.45,N,,
38,23.62,270.36,57.14,134.7,Y,,
39,30.03,271.01,57.09,135.31,Y,,
40,23.02,269.83,54.42,132.36,N,,
41,21.33,270.04,53.85,137.85,N,,
42,28.63,274.83,53.95,133.12,Y,,
43,24.26,272.56,58.02,136.87,Y,,
44,27.57,273.25,58.25,136.18,Y,,
45,26.85,273.62,54.45,132.03,Y,,
46,24.85,276.16,53.57,132.89,Y,,
47,27.77,270.19,55.58,135.26,Y,,
48,29.02,278.64,53.17,135.59,Y,,
49,23.68,278.35,59.05,136.39,N,,
50,23.77,273.4,54.89,135.37,Y,,
51,24.21,277.21,55.72,133.96,Y,,
52,28.87,278.26,58.84,132.45,N,,
53,21.94,275.01,54.19,132.67,Y,,
54,27.89,273.8,57.19,134.79,Y,,
55,22.25,277.64,57.91,136.16,Y,,
56,26.94,279.28,59,136.61,N,,
57,26.63,276.79,59.08,135.88,N,,
58,25.15,275.72,54.79,132.29,Y,,
59,25.3,275.36,53.31,136.72,Y,,
60,29.96,274.23,55.6,136.59,Y,,
61,25.89,277.93,53.61,136.47,Y,,
62,25.27,272.35,53.48,132.07,Y,,
63,21.43,274.2,56.03,132.62,Y,,
64,24.22,279.15,53.24,133.54,Y,,
65,22.19,272.44,54.56,133.56,Y,,
66,22.73,274.29,57.73,132.34,Y,,
67,30.6,274.65,58.98,133.51,N,,
68,25.26,273.73,55.05,132.74,Y,,
69,24.21,278.08,56.4,136.48,Y,,
70,26.5,278.91,56.64,133.18,Y,,
71,30.36,276.34,54.64,136.3,Y,,
72,27.99,276.23,54.35,135.35,Y,,
73,25.6,273.16,57.63,132.39,Y,,
74,29.3,273.7,56.23,137.53,Y,,
75,21.47,272.34,57.22,133.95,Y,,
76,22.22,275.59,53.14,136.52,Y,,
77,24.38,277.67,57.26,134.33,Y,,
78,29.14,275.79,53.38,137.48,Y,,
79,23.39,278.78,58.78,132.09,N,,
80,26.36,270.41,56.21,136.08,Y,,
81,31.24,271.58,53.4,135.43,N,,
82,23.27,271.23,53.64,133.22,Y,,
83,28.54,271.16,54.19,136.39,Y,,
84,30.84,273.4,56.92,134.91,N,,
85,23.42,276.81,56.23,133.34,Y,,
86,27.35,270.81,56.96,136.04,Y,,
87,23.21,269.65,53.79,135.67,N,,
