,mold_temp,melt_temp,injection_speed,hold_pressure,defect
0,24.9,273.11,54.81,137.66,Y
1,29.77,273.16,54.68,138.63,N
2,28.32,276.06,55.22,134.64,Y
3,26.69,274.62,54.36,134.6,Y
4,22.67,280.15,53.28,137.15,Y
5,27.23,277.3,52.15,133.98,Y
6,25.99,276.85,57.05,135.11,Y
7,25.81,272.57,52.11,136.78,Y
8,23.14,274.83,55.34,136.89,Y
9,27.86,275.79,54.58,134.62,Y
10,24.19,276.02,54.25,134.65,Y
11,22.24,275.59,56.76,136.52,Y
12,27.32,276.79,53.95,137.93,Y
13,27.84,272.55,53.1,133.98,Y
14,28.95,279.08,57.21,134.44,Y
15,29.23,278.33,57.84,135.3,Y
16,23.66,281.42,54.3,133.71,Y
17,20.81,276.35,53.53,135.89,Y
18,22.42,279.91,52.87,132.82,Y
19,29.14,278.23,53.83,136.88,Y
20,20.88,277.77,52.39,137.51,Y
21,25.22,280.49,52.47,137.62,Y
22,30.41,277.49,54.85,136.02,Y
23,27.1,280.34,57.8,136.11,Y
24,23.98,272.59,54.42,137.14,Y
25,25.72,281.04,54.24,134.7,Y
26,21.01,278.01,55.72,138.2,Y
27,24.4,273.51,56.29,133.37,Y
28,27.56,279.93,53.68,137.45,Y
29,29.36,278.63,53.12,135.95,Y
30,27.04,272.55,54.89,137.83,Y
31,21.83,278.33,54.16,133.03,Y
32,30.32,276.06,53.9,137.92,Y
33,24.95,272.23,53.29,136.6,Y
34,26.98,278.91,56.52,137.53,Y
35,22.03,275.53,57.72,137.57,Y
36,20.9,276.09,57.31,137.58,Y
37,22.71,280.29,53.87,136.39,Y
38,28.95,272.62,52.24,135.02,Y
39,30.2,273.41,54.32,137.46,Y
40,22.58,281.65,56.83,133.38,Y
41,22.51,277.25,53.3,135.43,Y
42,27.3,278.85,57.29,133.44,Y
43,22.56,276.26,53.66,135.85,Y
44,22.81,277.94,52.64,136.23,Y
45,21.95,273.36,57.31,136.73,Y
46,24.03,275.76,54.35,134.83,Y
47,30.52,272.65,52.32,138.29,Y
48,26.42,279.16,56.62,137.69,Y
49,25.02,278.91,52.85,135.01,Y
50,29.14,272.33,54.9,136.7,Y
51,28.06,272.61,57.79,137.5,Y
52,25.58,274.33,54.83,136.94,Y
53,27.94,273.59,53.11,135.37,Y
54,23.37,278.03,53.7,138.49,N
55,20.82,277.85,54.08,135.78,Y
56,26.16,280.95,54.16,133.6,Y
57,22.18,279.99,52.4,137.71,Y
58,27.84,273.19,52.44,137.34,Y
59,21.77,273.94,52.77,134.7,Y
60,22.19,273.97,53.38,133.72,Y
61,29.99,281.35,53.24,137.59,Y
62,23.38,277.38,52.41,134.61,Y
63,26.48,276.44,51.99,134.95,Y
64,28.06,279.62,55.04,137.31,Y
65,21.37,280.16,54.85,137.1,Y
66,28.66,279.49,54,134.21,Y
67,30.09,272.28,54,138.11,Y
68,27.31,282.11,52.59,133.4,N
69,29.72,278.8,53.81,137.62,Y
70,20.73,278.74,53.89,138.26,Y
71,20.73,275.7,54.54,137.76,Y
72,27.19,276.05,56.56,137.11,Y
73,25.36,273.26,53.89,133.27,Y
74,27.85,272.64,55.04,134.82,Y
